,Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
1,2005,1,Nacional,Mujeres,2690296,14843275,18.124679360000000000000
3,2005,1,Aguascalientes,Mujeres,28430,145656,19.518591750000000000000
5,2005,1,Baja California,Mujeres,103697,398911,25.995021450000000000000
7,2005,1,Baja California Sur,Mujeres,4103,75648,5.4238049920000000000000
9,2005,1,Campeche,Mujeres,17935,110090,16.291216280000000000000
11,2005,1,Coahuila,Mujeres,77974,334205,23.331188940000000000000
13,2005,1,Colima,Mujeres,9048,99062,9.1336738610000000000000
15,2005,1,Chiapas,Mujeres,46623,434000,10.742626730000000000000
17,2005,1,Chihuahua,Mujeres,121060,392731,30.825170410000000000000
19,2005,1,Ciudad de M xico,Mujeres,193570,1544438,12.533361650000000000000
21,2005,1,Durango,Mujeres,29268,183207,15.975372120000000000000
23,2005,1,Guanajuato,Mujeres,156216,731472,21.356388210000000000000
25,2005,1,Guerrero,Mujeres,69924,385423,18.142145120000000000000
27,2005,1,Hidalgo,Mujeres,60884,351209,17.335546640000000000000
29,2005,1,Jalisco,Mujeres,215901,1113674,19.386373390000000000000
31,2005,1,M xico,Mujeres,386015,1915955,20.147393860000000000000
33,2005,1,Michoac n,Mujeres,95769,581215,16.477379280000000000000
35,2005,1,Morelos,Mujeres,34987,269003,13.006174650000000000000
37,2005,1,Nayarit,Mujeres,16282,162279,10.033337650000000000000
39,2005,1,Nuevo Le n,Mujeres,115657,625562,18.488495150000000000000
41,2005,1,Oaxaca,Mujeres,137694,541540,25.426376630000000000000
43,2005,1,Puebla,Mujeres,188720,817134,23.095355230000000000000
45,2005,1,Quer taro,Mujeres,51415,242677,21.186597820000000000000
47,2005,1,Quintana Roo,Mujeres,10641,180543,5.8938867750000000000000
49,2005,1,San Luis Potos ,Mujeres,58284,328647,17.734529750000000000000
51,2005,1,Sinaloa,Mujeres,53206,399694,13.311683440000000000000
53,2005,1,Sonora,Mujeres,70042,348722,20.085340190000000000000
55,2005,1,Tabasco,Mujeres,13032,211048,6.1748986010000000000000
57,2005,1,Tamaulipas,Mujeres,101803,438534,23.214391590000000000000
59,2005,1,Tlaxcala,Mujeres,44308,138252,32.048722620000000000000
61,2005,1,Veracruz,Mujeres,98856,895337,11.041205710000000000000
63,2005,1,Yucat n,Mujeres,65218,285725,22.825444050000000000000
65,2005,1,Zacatecas,Mujeres,13734,161682,8.4944520730000000000000
67,2005,2,Nacional,Mujeres,2715510,15296986,17.751928390000000000000
69,2005,2,Aguascalientes,Mujeres,27850,149494,18.629510210000000000000
71,2005,2,Baja California,Mujeres,109288,409378,26.696109710000000000000
73,2005,2,Baja California Sur,Mujeres,4052,78803,5.1419362210000000000000
75,2005,2,Campeche,Mujeres,17831,114505,15.572245750000000000000
77,2005,2,Coahuila,Mujeres,73347,345095,21.254147410000000000000
79,2005,2,Colima,Mujeres,10828,103079,10.504564460000000000000
81,2005,2,Chiapas,Mujeres,59508,495849,12.001234250000000000000
83,2005,2,Chihuahua,Mujeres,119483,442409,27.007361970000000000000
85,2005,2,Ciudad de M xico,Mujeres,174367,1631018,10.69068520000000000000
87,2005,2,Durango,Mujeres,31148,185859,16.758940920000000000000
89,2005,2,Guanajuato,Mujeres,157011,710369,22.102738150000000000000
91,2005,2,Guerrero,Mujeres,72371,412335,17.551505450000000000000
93,2005,2,Hidalgo,Mujeres,64789,356295,18.184089030000000000000
95,2005,2,Jalisco,Mujeres,209698,1083908,19.34647590000000000000
97,2005,2,M xico,Mujeres,362438,1907713,18.998560060000000000000
99,2005,2,Michoac n,Mujeres,94871,630304,15.051625880000000000000
101,2005,2,Morelos,Mujeres,32680,265228,12.321474350000000000000
103,2005,2,Nayarit,Mujeres,16525,158359,10.435150510000000000000
105,2005,2,Nuevo Le n,Mujeres,118852,646879,18.373142430000000000000
107,2005,2,Oaxaca,Mujeres,135968,598144,22.73164990000000000000
109,2005,2,Puebla,Mujeres,190831,825016,23.130581710000000000000
111,2005,2,Quer taro,Mujeres,57421,253590,22.643243030000000000000
113,2005,2,Quintana Roo,Mujeres,13020,193371,6.7331709510000000000000
115,2005,2,San Luis Potos ,Mujeres,63812,344038,18.54795110000000000000
117,2005,2,Sinaloa,Mujeres,54790,427655,12.811729080000000000000
119,2005,2,Sonora,Mujeres,77039,354437,21.735597580000000000000
121,2005,2,Tabasco,Mujeres,10456,217651,4.8040211160000000000000
123,2005,2,Tamaulipas,Mujeres,111028,459382,24.168992250000000000000
125,2005,2,Tlaxcala,Mujeres,48142,144746,33.259641030000000000000
127,2005,2,Veracruz,Mujeres,108357,883852,12.25963170000000000000
129,2005,2,Yucat n,Mujeres,72367,300472,24.084440480000000000000
131,2005,2,Zacatecas,Mujeres,15342,167753,9.1455890510000000000000
133,2005,3,Nacional,Mujeres,2772116,15557223,17.818835660000000000000
135,2005,3,Aguascalientes,Mujeres,28398,148795,19.085318730000000000000
137,2005,3,Baja California,Mujeres,109074,418661,26.053059640000000000000
139,2005,3,Baja California Sur,Mujeres,4673,78788,5.931106260000000000000
141,2005,3,Campeche,Mujeres,18678,116137,16.082729880000000000000
143,2005,3,Coahuila,Mujeres,71230,327465,21.751942960000000000000
145,2005,3,Colima,Mujeres,10578,103167,10.253278660000000000000
147,2005,3,Chiapas,Mujeres,59348,502219,11.817155460000000000000
149,2005,3,Chihuahua,Mujeres,121649,459871,26.452853080000000000000
151,2005,3,Ciudad de M xico,Mujeres,167031,1609745,10.376239710000000000000
153,2005,3,Durango,Mujeres,33372,185771,17.964052520000000000000
155,2005,3,Guanajuato,Mujeres,152421,736208,20.7035240000000000000
157,2005,3,Guerrero,Mujeres,67750,463720,14.610109550000000000000
159,2005,3,Hidalgo,Mujeres,70600,396460,17.807597240000000000000
161,2005,3,Jalisco,Mujeres,229841,1123242,20.462286840000000000000
163,2005,3,M xico,Mujeres,381555,1978197,19.288018330000000000000
165,2005,3,Michoac n,Mujeres,108677,642263,16.920949830000000000000
167,2005,3,Morelos,Mujeres,34258,264957,12.929645190000000000000
169,2005,3,Nayarit,Mujeres,18341,155013,11.831910870000000000000
171,2005,3,Nuevo Le n,Mujeres,129821,656880,19.763274880000000000000
173,2005,3,Oaxaca,Mujeres,139552,585550,23.832635980000000000000
175,2005,3,Puebla,Mujeres,186885,860111,21.728009520000000000000
177,2005,3,Quer taro,Mujeres,56480,257581,21.927083130000000000000
179,2005,3,Quintana Roo,Mujeres,14435,192105,7.5141198820000000000000
181,2005,3,San Luis Potos ,Mujeres,60835,342883,17.742203610000000000000
183,2005,3,Sinaloa,Mujeres,48174,391922,12.291731520000000000000
185,2005,3,Sonora,Mujeres,71519,344719,20.747043240000000000000
187,2005,3,Tabasco,Mujeres,12992,230322,5.6407985340000000000000
189,2005,3,Tamaulipas,Mujeres,122705,443174,27.687770490000000000000
191,2005,3,Tlaxcala,Mujeres,47195,157256,30.011573490000000000000
193,2005,3,Veracruz,Mujeres,100976,903511,11.175956910000000000000
195,2005,3,Yucat n,Mujeres,73132,302596,24.168197860000000000000
197,2005,3,Zacatecas,Mujeres,19941,177934,11.206964380000000000000
