Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
2005,1,Nacional,Hombres,4384907,26597801,16.485975660000000000000
2005,1,Nacional,Mujeres,2690296,14843275,18.124679360000000000000
2005,1,Aguascalientes,Hombres,56407,246177,22.913188480000000000000
2005,1,Aguascalientes,Mujeres,28430,145656,19.518591750000000000000
2005,1,Baja California,Hombres,167651,768989,21.801482210000000000000
2005,1,Baja California,Mujeres,103697,398911,25.995021450000000000000
2005,1,Baja California Sur,Hombres,9349,148814,6.2823390270000000000000
2005,1,Baja California Sur,Mujeres,4103,75648,5.4238049920000000000000
2005,1,Campeche,Hombres,17032,206708,8.2396423940000000000000
2005,1,Campeche,Mujeres,17935,110090,16.291216280000000000000
2005,1,Coahuila,Hombres,171196,636756,26.885651650000000000000
2005,1,Coahuila,Mujeres,77974,334205,23.331188940000000000000
2005,1,Colima,Hombres,15851,156623,10.120480390000000000000
2005,1,Colima,Mujeres,9048,99062,9.1336738610000000000000
2005,1,Chiapas,Hombres,59684,1136112,5.2533553030000000000000
2005,1,Chiapas,Mujeres,46623,434000,10.742626730000000000000
2005,1,Chihuahua,Hombres,203833,828428,24.604793660000000000000
2005,1,Chihuahua,Mujeres,121060,392731,30.825170410000000000000
2005,1,Ciudad de M xico,Hombres,362248,2312482,15.664900310000000000000
2005,1,Ciudad de M xico,Mujeres,193570,1544438,12.533361650000000000000
2005,1,Durango,Hombres,65926,378399,17.422350480000000000000
2005,1,Durango,Mujeres,29268,183207,15.975372120000000000000
2005,1,Guanajuato,Hombres,285927,1204730,23.733699670000000000000
2005,1,Guanajuato,Mujeres,156216,731472,21.356388210000000000000
2005,1,Guerrero,Hombres,57673,702715,8.2071679130000000000000
2005,1,Guerrero,Mujeres,69924,385423,18.142145120000000000000
2005,1,Hidalgo,Hombres,94696,616306,15.365094610000000000000
2005,1,Hidalgo,Mujeres,60884,351209,17.335546640000000000000
2005,1,Jalisco,Hombres,343662,1730805,19.855616320000000000000
2005,1,Jalisco,Mujeres,215901,1113674,19.386373390000000000000
2005,1,M xico,Hombres,743104,3582878,20.740421530000000000000
2005,1,M xico,Mujeres,386015,1915955,20.147393860000000000000
2005,1,Michoac n,Hombres,139848,1005172,13.912842780000000000000
2005,1,Michoac n,Mujeres,95769,581215,16.477379280000000000000
2005,1,Morelos,Hombres,47597,398613,11.940654220000000000000
2005,1,Morelos,Mujeres,34987,269003,13.006174650000000000000
2005,1,Nayarit,Hombres,17268,260824,6.6205563910000000000000
2005,1,Nayarit,Mujeres,16282,162279,10.033337650000000000000
2005,1,Nuevo Le n,Hombres,308904,1171402,26.370451820000000000000
2005,1,Nuevo Le n,Mujeres,115657,625562,18.488495150000000000000
2005,1,Oaxaca,Hombres,73463,865638,8.4865729090000000000000
2005,1,Oaxaca,Mujeres,137694,541540,25.426376630000000000000
2005,1,Puebla,Hombres,230487,1341586,17.180188220000000000000
2005,1,Puebla,Mujeres,188720,817134,23.095355230000000000000
2005,1,Quer taro,Hombres,89657,389861,22.997170790000000000000
2005,1,Quer taro,Mujeres,51415,242677,21.186597820000000000000
2005,1,Quintana Roo,Hombres,18595,313136,5.9383143430000000000000
2005,1,Quintana Roo,Mujeres,10641,180543,5.8938867750000000000000
2005,1,San Luis Potos ,Hombres,94423,602686,15.667030590000000000000
2005,1,San Luis Potos ,Mujeres,58284,328647,17.734529750000000000000
2005,1,Sinaloa,Hombres,77990,749476,10.405936950000000000000
2005,1,Sinaloa,Mujeres,53206,399694,13.311683440000000000000
2005,1,Sonora,Hombres,91143,651067,13.999020070000000000000
2005,1,Sonora,Mujeres,70042,348722,20.085340190000000000000
2005,1,Tabasco,Hombres,37784,531684,7.1064767790000000000000
2005,1,Tabasco,Mujeres,13032,211048,6.1748986010000000000000
2005,1,Tamaulipas,Hombres,144816,790504,18.319451890000000000000
2005,1,Tamaulipas,Mujeres,101803,438534,23.214391590000000000000
2005,1,Tlaxcala,Hombres,60857,263088,23.131803810000000000000
2005,1,Tlaxcala,Mujeres,44308,138252,32.048722620000000000000
2005,1,Veracruz,Hombres,186805,1792544,10.421222580000000000000
2005,1,Veracruz,Mujeres,98856,895337,11.041205710000000000000
2005,1,Yucat n,Hombres,79794,487287,16.375154680000000000000
2005,1,Yucat n,Mujeres,65218,285725,22.825444050000000000000
2005,1,Zacatecas,Hombres,31237,326311,9.5727695360000000000000
2005,1,Zacatecas,Mujeres,13734,161682,8.4944520730000000000000
2005,2,Nacional,Hombres,4299545,26379882,16.298575560000000000000
2005,2,Nacional,Mujeres,2715510,15296986,17.751928390000000000000
2005,2,Aguascalientes,Hombres,57749,250123,23.088240590000000000000
2005,2,Aguascalientes,Mujeres,27850,149494,18.629510210000000000000
2005,2,Baja California,Hombres,155352,759631,20.450982120000000000000
2005,2,Baja California,Mujeres,109288,409378,26.696109710000000000000
2005,2,Baja California Sur,Hombres,8430,150622,5.5967919690000000000000
2005,2,Baja California Sur,Mujeres,4052,78803,5.1419362210000000000000
2005,2,Campeche,Hombres,17116,211678,8.0858662690000000000000
2005,2,Campeche,Mujeres,17831,114505,15.572245750000000000000
2005,2,Coahuila,Hombres,177317,642237,27.609278190000000000000
2005,2,Coahuila,Mujeres,73347,345095,21.254147410000000000000
2005,2,Colima,Hombres,16334,157132,10.395081840000000000000
2005,2,Colima,Mujeres,10828,103079,10.504564460000000000000
2005,2,Chiapas,Hombres,53275,1149356,4.635204410000000000000
2005,2,Chiapas,Mujeres,59508,495849,12.001234250000000000000
2005,2,Chihuahua,Hombres,184094,844239,21.805910410000000000000
2005,2,Chihuahua,Mujeres,119483,442409,27.007361970000000000000
2005,2,Ciudad de M xico,Hombres,335779,2269308,14.796537090000000000000
2005,2,Ciudad de M xico,Mujeres,174367,1631018,10.69068520000000000000
2005,2,Durango,Hombres,66291,373460,17.750495370000000000000
2005,2,Durango,Mujeres,31148,185859,16.758940920000000000000
2005,2,Guanajuato,Hombres,289234,1168007,24.763036520000000000000
2005,2,Guanajuato,Mujeres,157011,710369,22.102738150000000000000
2005,2,Guerrero,Hombres,49167,708538,6.9392185030000000000000
2005,2,Guerrero,Mujeres,72371,412335,17.551505450000000000000
2005,2,Hidalgo,Hombres,94694,613678,15.430567820000000000000
2005,2,Hidalgo,Mujeres,64789,356295,18.184089030000000000000
2005,2,Jalisco,Hombres,341041,1741816,19.579622650000000000000
2005,2,Jalisco,Mujeres,209698,1083908,19.34647590000000000000
2005,2,M xico,Hombres,693433,3503229,19.794109950000000000000
2005,2,M xico,Mujeres,362438,1907713,18.998560060000000000000
2005,2,Michoac n,Hombres,137251,971632,14.12582130000000000000
2005,2,Michoac n,Mujeres,94871,630304,15.051625880000000000000
2005,2,Morelos,Hombres,43578,403404,10.802570130000000000000
2005,2,Morelos,Mujeres,32680,265228,12.321474350000000000000
2005,2,Nayarit,Hombres,20394,255059,7.9957970510000000000000
2005,2,Nayarit,Mujeres,16525,158359,10.435150510000000000000
2005,2,Nuevo Le n,Hombres,310295,1180942,26.275210810000000000000
2005,2,Nuevo Le n,Mujeres,118852,646879,18.373142430000000000000
2005,2,Oaxaca,Hombres,72511,868184,8.3520313670000000000000
2005,2,Oaxaca,Mujeres,135968,598144,22.73164990000000000000
2005,2,Puebla,Hombres,236459,1307234,18.088498310000000000000
2005,2,Puebla,Mujeres,190831,825016,23.130581710000000000000
2005,2,Quer taro,Hombres,89439,395897,22.591482130000000000000
2005,2,Quer taro,Mujeres,57421,253590,22.643243030000000000000
2005,2,Quintana Roo,Hombres,19336,320098,6.0406500510000000000000
2005,2,Quintana Roo,Mujeres,13020,193371,6.7331709510000000000000
2005,2,San Luis Potos ,Hombres,104308,594132,17.556367950000000000000
2005,2,San Luis Potos ,Mujeres,63812,344038,18.54795110000000000000
2005,2,Sinaloa,Hombres,75157,722151,10.407380170000000000000
2005,2,Sinaloa,Mujeres,54790,427655,12.811729080000000000000
2005,2,Sonora,Hombres,102370,634839,16.125348320000000000000
2005,2,Sonora,Mujeres,77039,354437,21.735597580000000000000
2005,2,Tabasco,Hombres,39321,536739,7.3259070050000000000000
2005,2,Tabasco,Mujeres,10456,217651,4.8040211160000000000000
2005,2,Tamaulipas,Hombres,152786,807392,18.92339780000000000000
2005,2,Tamaulipas,Mujeres,111028,459382,24.168992250000000000000
2005,2,Tlaxcala,Hombres,62589,266999,23.441660830000000000000
2005,2,Tlaxcala,Mujeres,48142,144746,33.259641030000000000000
2005,2,Veracruz,Hombres,183207,1745193,10.497807410000000000000
2005,2,Veracruz,Mujeres,108357,883852,12.25963170000000000000
2005,2,Yucat n,Hombres,83288,485632,17.15043490000000000000
2005,2,Yucat n,Mujeres,72367,300472,24.084440480000000000000
2005,2,Zacatecas,Hombres,27950,341301,8.1892523020000000000000
2005,2,Zacatecas,Mujeres,15342,167753,9.1455890510000000000000
2005,3,Nacional,Hombres,4290567,26777675,16.022925810000000000000
2005,3,Nacional,Mujeres,2772116,15557223,17.818835660000000000000
2005,3,Aguascalientes,Hombres,54585,252225,21.641391610000000000000
2005,3,Aguascalientes,Mujeres,28398,148795,19.085318730000000000000
2005,3,Baja California,Hombres,160036,769610,20.794428350000000000000
2005,3,Baja California,Mujeres,109074,418661,26.053059640000000000000
2005,3,Baja California Sur,Hombres,9609,153192,6.2725207580000000000000
2005,3,Baja California Sur,Mujeres,4673,78788,5.931106260000000000000
2005,3,Campeche,Hombres,17815,211438,8.4256377760000000000000
2005,3,Campeche,Mujeres,18678,116137,16.082729880000000000000
2005,3,Coahuila,Hombres,168626,639837,26.354524670000000000000
2005,3,Coahuila,Mujeres,71230,327465,21.751942960000000000000
2005,3,Colima,Hombres,16236,157257,10.324500660000000000000
2005,3,Colima,Mujeres,10578,103167,10.253278660000000000000
2005,3,Chiapas,Hombres,57328,1156983,4.9549561230000000000000
2005,3,Chiapas,Mujeres,59348,502219,11.817155460000000000000
2005,3,Chihuahua,Hombres,184026,858003,21.448176750000000000000
2005,3,Chihuahua,Mujeres,121649,459871,26.452853080000000000000
2005,3,Ciudad de M xico,Hombres,320777,2272775,14.113891610000000000000
2005,3,Ciudad de M xico,Mujeres,167031,1609745,10.376239710000000000000
2005,3,Durango,Hombres,68157,382252,17.830384140000000000000
2005,3,Durango,Mujeres,33372,185771,17.964052520000000000000
2005,3,Guanajuato,Hombres,303831,1211601,25.076819840000000000000
2005,3,Guanajuato,Mujeres,152421,736208,20.7035240000000000000
2005,3,Guerrero,Hombres,43653,771353,5.6592766220000000000000
2005,3,Guerrero,Mujeres,67750,463720,14.610109550000000000000
2005,3,Hidalgo,Hombres,92533,613751,15.076635310000000000000
2005,3,Hidalgo,Mujeres,70600,396460,17.807597240000000000000
2005,3,Jalisco,Hombres,351469,1771504,19.840147130000000000000
2005,3,Jalisco,Mujeres,229841,1123242,20.462286840000000000000
2005,3,M xico,Hombres,698696,3551666,19.672345320000000000000
2005,3,M xico,Mujeres,381555,1978197,19.288018330000000000000
2005,3,Michoac n,Hombres,140757,993033,14.174453420000000000000
2005,3,Michoac n,Mujeres,108677,642263,16.920949830000000000000
2005,3,Morelos,Hombres,46983,416229,11.287776680000000000000
2005,3,Morelos,Mujeres,34258,264957,12.929645190000000000000
2005,3,Nayarit,Hombres,18787,250253,7.5072027110000000000000
2005,3,Nayarit,Mujeres,18341,155013,11.831910870000000000000
2005,3,Nuevo Le n,Hombres,313260,1190220,26.319503960000000000000
2005,3,Nuevo Le n,Mujeres,129821,656880,19.763274880000000000000
2005,3,Oaxaca,Hombres,67299,908420,7.4083573680000000000000
2005,3,Oaxaca,Mujeres,139552,585550,23.832635980000000000000
2005,3,Puebla,Hombres,233484,1333871,17.504241410000000000000
2005,3,Puebla,Mujeres,186885,860111,21.728009520000000000000
2005,3,Quer taro,Hombres,95335,402911,23.661553050000000000000
2005,3,Quer taro,Mujeres,56480,257581,21.927083130000000000000
2005,3,Quintana Roo,Hombres,22049,332109,6.6390853610000000000000
2005,3,Quintana Roo,Mujeres,14435,192105,7.5141198820000000000000
2005,3,San Luis Potos ,Hombres,104331,593450,17.580419580000000000000
2005,3,San Luis Potos ,Mujeres,60835,342883,17.742203610000000000000
2005,3,Sinaloa,Hombres,69407,699118,9.9277947360000000000000
2005,3,Sinaloa,Mujeres,48174,391922,12.291731520000000000000
2005,3,Sonora,Hombres,99551,619562,16.067964140000000000000
2005,3,Sonora,Mujeres,71519,344719,20.747043240000000000000
2005,3,Tabasco,Hombres,31508,542164,5.8115256640000000000000
2005,3,Tabasco,Mujeres,12992,230322,5.6407985340000000000000
2005,3,Tamaulipas,Hombres,148458,791775,18.750023680000000000000
2005,3,Tamaulipas,Mujeres,122705,443174,27.687770490000000000000
2005,3,Tlaxcala,Hombres,61391,272015,22.568975980000000000000
2005,3,Tlaxcala,Mujeres,47195,157256,30.011573490000000000000
2005,3,Veracruz,Hombres,174362,1817213,9.5950227080000000000000
2005,3,Veracruz,Mujeres,100976,903511,11.175956910000000000000
2005,3,Yucat n,Hombres,90213,495060,18.222639680000000000000
2005,3,Yucat n,Mujeres,73132,302596,24.168197860000000000000
2005,3,Zacatecas,Hombres,26015,346825,7.5009010310000000000000
2005,3,Zacatecas,Mujeres,19941,177934,11.206964380000000000000
2005,4,Nacional,Hombres,4348251,26993388,16.108578150000000000000
2005,4,Nacional,Mujeres,2736286,15870315,17.241535530000000000000
2005,4,Aguascalientes,Hombres,58213,258498,22.519710020000000000000
2005,4,Aguascalientes,Mujeres,28233,154828,18.235073760000000000000
2005,4,Baja California,Hombres,155452,774211,20.078764060000000000000
2005,4,Baja California,Mujeres,104667,441806,23.690714930000000000000
2005,4,Baja California Sur,Hombres,9108,156294,5.8274789820000000000000
2005,4,Baja California Sur,Mujeres,4607,85853,5.3661491150000000000000
2005,4,Campeche,Hombres,18416,211113,8.7232903710000000000000
2005,4,Campeche,Mujeres,18830,116087,16.220593180000000000000
2005,4,Coahuila,Hombres,176864,643388,27.489477580000000000000
2005,4,Coahuila,Mujeres,63874,347840,18.363040480000000000000
2005,4,Colima,Hombres,16178,157662,10.261191660000000000000
2005,4,Colima,Mujeres,11762,107322,10.959542310000000000000
2005,4,Chiapas,Hombres,58917,1141005,5.1636057690000000000000
2005,4,Chiapas,Mujeres,61076,477561,12.789151540000000000000
2005,4,Chihuahua,Hombres,190135,878534,21.642304110000000000000
2005,4,Chihuahua,Mujeres,109855,458574,23.955784670000000000000
2005,4,Ciudad de M xico,Hombres,323505,2312440,13.989768380000000000000
2005,4,Ciudad de M xico,Mujeres,197823,1706546,11.5920110000000000000
2005,4,Durango,Hombres,70110,384284,18.244319310000000000000
2005,4,Durango,Mujeres,29600,183906,16.095179060000000000000
2005,4,Guanajuato,Hombres,307479,1235657,24.883847220000000000000
2005,4,Guanajuato,Mujeres,157248,766952,20.502978020000000000000
2005,4,Guerrero,Hombres,47492,762389,6.2293658490000000000000
2005,4,Guerrero,Mujeres,67471,445551,15.143272040000000000000
2005,4,Hidalgo,Hombres,84724,594997,14.239399530000000000000
2005,4,Hidalgo,Mujeres,65978,375441,17.573466940000000000000
2005,4,Jalisco,Hombres,357572,1770229,20.199194570000000000000
2005,4,Jalisco,Mujeres,244634,1123047,21.783059840000000000000
2005,4,M xico,Hombres,682457,3595444,18.98116060000000000000
2005,4,M xico,Mujeres,375161,2004152,18.719188960000000000000
2005,4,Michoac n,Hombres,145688,994406,14.650756330000000000000
2005,4,Michoac n,Mujeres,103171,665183,15.510167880000000000000
2005,4,Morelos,Hombres,47747,422774,11.293740860000000000000
2005,4,Morelos,Mujeres,30711,263349,11.661711270000000000000
2005,4,Nayarit,Hombres,20072,264945,7.5759119820000000000000
2005,4,Nayarit,Mujeres,16812,159261,10.556256710000000000000
2005,4,Nuevo Le n,Hombres,332157,1214332,27.353063250000000000000
2005,4,Nuevo Le n,Mujeres,125152,664894,18.822849960000000000000
2005,4,Oaxaca,Hombres,67200,888125,7.5665024630000000000000
2005,4,Oaxaca,Mujeres,117947,581207,20.293458270000000000000
2005,4,Puebla,Hombres,243930,1324739,18.413438420000000000000
2005,4,Puebla,Mujeres,181409,854602,21.227308150000000000000
2005,4,Quer taro,Hombres,94902,417750,22.717414720000000000000
2005,4,Quer taro,Mujeres,63147,264924,23.835892560000000000000
2005,4,Quintana Roo,Hombres,21618,335107,6.4510738360000000000000
2005,4,Quintana Roo,Mujeres,12815,184293,6.9536010590000000000000
2005,4,San Luis Potos ,Hombres,101607,594842,17.081342610000000000000
2005,4,San Luis Potos ,Mujeres,66075,350919,18.829131510000000000000
2005,4,Sinaloa,Hombres,73098,727673,10.045446240000000000000
2005,4,Sinaloa,Mujeres,46534,427042,10.896820450000000000000
2005,4,Sonora,Hombres,101596,642899,15.802793280000000000000
2005,4,Sonora,Mujeres,73128,346850,21.083465470000000000000
2005,4,Tabasco,Hombres,34758,547966,6.343094280000000000000
2005,4,Tabasco,Mujeres,12058,219024,5.5053327490000000000000
2005,4,Tamaulipas,Hombres,153867,814984,18.879757150000000000000
2005,4,Tamaulipas,Mujeres,113506,471856,24.055220240000000000000
2005,4,Tlaxcala,Hombres,62629,274862,22.785616050000000000000
2005,4,Tlaxcala,Mujeres,47984,165968,28.911597420000000000000
2005,4,Veracruz,Hombres,177063,1809574,9.7847891270000000000000
2005,4,Veracruz,Mujeres,91162,966076,9.436317640000000000000
2005,4,Yucat n,Hombres,87066,488417,17.826160840000000000000
2005,4,Yucat n,Mujeres,74834,302926,24.703723020000000000000
2005,4,Zacatecas,Hombres,26631,353848,7.5261129070000000000000
2005,4,Zacatecas,Mujeres,19022,186475,10.200831210000000000000
2006,1,Nacional,Hombres,4377795,26913995,16.265868370000000000000
2006,1,Nacional,Mujeres,2741480,15826941,17.321603710000000000000
2006,1,Aguascalientes,Hombres,58341,256317,22.761268270000000000000
2006,1,Aguascalientes,Mujeres,25737,152027,16.929229680000000000000
2006,1,Baja California,Hombres,156261,779609,20.043508990000000000000
2006,1,Baja California,Mujeres,105402,444228,23.727005050000000000000
2006,1,Baja California Sur,Hombres,8786,158987,5.5262379940000000000000
2006,1,Baja California Sur,Mujeres,3559,81145,4.3859757220000000000000
2006,1,Campeche,Hombres,17084,209068,8.1715040080000000000000
2006,1,Campeche,Mujeres,17589,117296,14.995396260000000000000
2006,1,Coahuila,Hombres,171703,651844,26.341118430000000000000
2006,1,Coahuila,Mujeres,62721,346870,18.081990370000000000000
2006,1,Colima,Hombres,16557,158735,10.430591870000000000000
2006,1,Colima,Mujeres,9630,107006,8.9994953550000000000000
2006,1,Chiapas,Hombres,59850,1149799,5.2052576150000000000000
2006,1,Chiapas,Mujeres,48833,444480,10.986546080000000000000
2006,1,Chihuahua,Hombres,214820,876826,24.499729710000000000000
2006,1,Chihuahua,Mujeres,116994,457033,25.598589160000000000000
2006,1,Ciudad de M xico,Hombres,332272,2303308,14.425860540000000000000
2006,1,Ciudad de M xico,Mujeres,183158,1678037,10.915015580000000000000
2006,1,Durango,Hombres,63602,381374,16.677067660000000000000
2006,1,Durango,Mujeres,27295,181327,15.052915450000000000000
2006,1,Guanajuato,Hombres,289545,1205676,24.01515830000000000000
2006,1,Guanajuato,Mujeres,151429,731408,20.703765890000000000000
2006,1,Guerrero,Hombres,56127,676173,8.3006863630000000000000
2006,1,Guerrero,Mujeres,72361,452425,15.994032160000000000000
2006,1,Hidalgo,Hombres,91662,612238,14.971628680000000000000
2006,1,Hidalgo,Mujeres,66554,354015,18.799768370000000000000
2006,1,Jalisco,Hombres,351065,1757793,19.971919330000000000000
2006,1,Jalisco,Mujeres,241456,1121207,21.535363230000000000000
2006,1,M xico,Hombres,693353,3609150,19.210977650000000000000
2006,1,M xico,Mujeres,387498,2102981,18.426129380000000000000
2006,1,Michoac n,Hombres,144978,1005453,14.419172250000000000000
2006,1,Michoac n,Mujeres,96450,625192,15.427260750000000000000
2006,1,Morelos,Hombres,52631,421107,12.498248660000000000000
2006,1,Morelos,Mujeres,31059,266098,11.672015570000000000000
2006,1,Nayarit,Hombres,23317,265827,8.7714942420000000000000
2006,1,Nayarit,Mujeres,15862,158653,9.9979199890000000000000
2006,1,Nuevo Le n,Hombres,319372,1210555,26.38227920000000000000
2006,1,Nuevo Le n,Mujeres,130752,671063,19.484310710000000000000
2006,1,Oaxaca,Hombres,61385,871479,7.0437727130000000000000
2006,1,Oaxaca,Mujeres,138882,603032,23.030618610000000000000
2006,1,Puebla,Hombres,240480,1302665,18.460617270000000000000
2006,1,Puebla,Mujeres,185213,841542,22.008764860000000000000
2006,1,Quer taro,Hombres,91980,403865,22.774937170000000000000
2006,1,Quer taro,Mujeres,58896,259080,22.732746640000000000000
2006,1,Quintana Roo,Hombres,21443,334827,6.4042027670000000000000
2006,1,Quintana Roo,Mujeres,14522,196778,7.3798900280000000000000
2006,1,San Luis Potos ,Hombres,105158,609199,17.261682960000000000000
2006,1,San Luis Potos ,Mujeres,68899,357825,19.254943060000000000000
2006,1,Sinaloa,Hombres,75653,738576,10.24308940000000000000
2006,1,Sinaloa,Mujeres,47786,435445,10.974061020000000000000
2006,1,Sonora,Hombres,112843,657332,17.166819810000000000000
2006,1,Sonora,Mujeres,79472,366912,21.659689520000000000000
2006,1,Tabasco,Hombres,39896,549910,7.2550053650000000000000
2006,1,Tabasco,Mujeres,15516,235423,6.590689950000000000000
2006,1,Tamaulipas,Hombres,157890,810923,19.470405940000000000000
2006,1,Tamaulipas,Mujeres,106836,475523,22.467052070000000000000
2006,1,Tlaxcala,Hombres,62600,271937,23.020037730000000000000
2006,1,Tlaxcala,Mujeres,42078,150054,28.041904910000000000000
2006,1,Veracruz,Hombres,176840,1845886,9.5802232640000000000000
2006,1,Veracruz,Mujeres,98171,941145,10.431017540000000000000
2006,1,Yucat n,Hombres,85656,497484,17.217840170000000000000
2006,1,Yucat n,Mujeres,72988,295817,24.673362250000000000000
2006,1,Zacatecas,Hombres,24645,330073,7.4665301310000000000000
2006,1,Zacatecas,Mujeres,17882,175874,10.167506280000000000000
2006,2,Nacional,Hombres,4403016,27204670,16.184780040000000000000
2006,2,Nacional,Mujeres,2775340,16007764,17.3374620000000000000
